FEATURE,Anatomical,Functional,Clinical,Non-Specific,Classification
administered,0.0,0.0,0.1111111111111111,0.8888888888888888,Non-Specific
administration,0.0,0.0,0.1111111111111111,0.8888888888888888,Non-Specific
adolescence,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
adolescent,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
adolescents,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
adopted,0.0,0.0,0.1111111111111111,0.8888888888888888,Non-Specific
adult,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
adulthood,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
adults,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
advance,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
advanced,0.0,0.0,0.0,1.0,Non-Specific
advantage,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
affect,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,Functional
affected,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
affecting,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
affective,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,Functional
affects,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
age,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
age controls,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
age gender,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
age groups,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
age healthy,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
age sex,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
aged,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
agent,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
ages,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
aging,0.0,0.0,0.7777777777777778,0.2222222222222222,Clinical
agreement,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
aim,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
aimed,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
aims,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
al,0.0,0.0,0.1111111111111111,0.8888888888888888,Non-Specific
alcohol,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,Clinical
alff,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
algorithm,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
allele,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,Non-Specific
allocation,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
allow,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
allowed,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
allowing,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
allows,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
alpha,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
alter,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alteration,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alterations,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
altered,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alternating,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alternative,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alters,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
alzheimer,0.0,0.0,1.0,0.0,Clinical
alzheimer disease,0.0,0.0,1.0,0.0,Clinical
ambiguous,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
amnestic,0.0,0.1111111111111111,0.8888888888888888,0.0,Clinical
amplitude,0.1111111111111111,0.2222222222222222,0.0,0.6666666666666666,Non-Specific
amplitude low,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
amplitudes,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,Non-Specific
amygdala,1.0,0.0,0.0,0.0,Anatomical
amygdala anterior,1.0,0.0,0.0,0.0,Anatomical
amygdala hippocampus,1.0,0.0,0.0,0.0,Anatomical
amygdala insula,1.0,0.0,0.0,0.0,Anatomical
amygdala response,0.7777777777777778,0.3333333333333333,0.0,0.0,Anatomical
amygdala responses,0.7777777777777778,0.3333333333333333,0.0,0.0,Anatomical
analysed,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
analyses,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
analyze,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
analyzed,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
analyzed using,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
anatomical,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
anatomically,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
anatomy,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
anger,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
angry,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
angular,0.8888888888888888,0.1111111111111111,0.0,0.0,Anatomical
angular gyrus,1.0,0.0,0.0,0.0,Anatomical
animal,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
animals,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
anisotropy,0.2222222222222222,0.0,0.0,0.7777777777777778,Non-Specific
anisotropy fa,0.2222222222222222,0.0,0.0,0.7777777777777778,Non-Specific
anterior,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
anterior cingulate,1.0,0.0,0.0,0.0,Anatomical
anterior hippocampus,1.0,0.0,0.0,0.0,Anatomical
anterior inferior,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
anterior insula,1.0,0.0,0.0,0.0,Anatomical
anterior insular,1.0,0.0,0.0,0.0,Anatomical
anterior intraparietal,1.0,0.0,0.0,0.0,Anatomical
anterior medial,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
anterior posterior,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
anterior prefrontal,1.0,0.0,0.0,0.0,Anatomical
anterior superior,1.0,0.0,0.0,0.0,Anatomical
anterior temporal,1.0,0.0,0.0,0.0,Anatomical
anti,0.0,0.0,0.0,1.0,Non-Specific
anticipated,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
anticipation,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
anticipatory,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
anxiety,0.0,0.3333333333333333,0.6666666666666666,0.0,Clinical
anxiety disorders,0.0,0.1111111111111111,0.8888888888888888,0.0,Clinical
aphasia,0.0,0.1111111111111111,0.8888888888888888,0.0,Clinical
apparent,0.0,0.0,0.0,1.0,Non-Specific
appear,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
appeared,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
appears,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
application,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
applied,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
apply,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
applying,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
appraisal,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
approach,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
approaches,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
appropriate,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
approximately,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
architecture,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
argue,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
arise,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
arithmetic,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
arm,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,Non-Specific
arousal,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
array,0.0,0.0,0.0,1.0,Non-Specific
arterial,0.3333333333333333,0.0,0.0,0.6666666666666666,Non-Specific
arterial spin,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,Non-Specific
articulatory,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,Functional
asd,0.0,0.0,1.0,0.0,Clinical
asked,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
aspect,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
aspects,0.0,0.1111111111111111,0.0,0.7777777777777778,Non-Specific
assess,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
assessed,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assessed using,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assessing,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
assessment,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assessments,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assigned,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
association,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
association cortex,1.0,0.0,0.0,0.0,Anatomical
associations,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
associative,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
assume,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assumed,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
assumption,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
asymmetry,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
atrophy,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,Clinical
attempt,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
attempted,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
attend,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
attended,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
attending,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
attention,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
attention deficit,0.0,0.0,0.8888888888888888,0.1111111111111111,Clinical
attention network,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,Anatomical
attention task,0.0,1.0,0.0,0.0,Functional
attentional,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
attentional control,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
attenuated,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
attenuation,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
attribute,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
attributed,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
attributes,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
attribution,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
atypical,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,Clinical
audio,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
audiovisual,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
auditory,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
auditory cortex,0.8888888888888888,0.1111111111111111,0.0,0.0,Anatomical
auditory cortices,0.8888888888888888,0.1111111111111111,0.0,0.0,Anatomical
auditory stimuli,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
auditory visual,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
autism,0.0,0.1111111111111111,0.8888888888888888,0.0,Clinical
autism spectrum,0.0,0.0,1.0,0.0,Clinical
autobiographical,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
autobiographical memory,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
automated,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
automatic,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
automatically,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
autonomic,0.1111111111111111,0.6666666666666666,0.0,0.2222222222222222,Functional
available,0.0,0.0,0.0,1.0,Non-Specific
average,0.0,0.0,0.0,1.0,Non-Specific
aversive,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
avoid,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
avoidance,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
awareness,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
away,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
axis,0.3333333333333333,0.0,0.0,0.6666666666666666,Non-Specific
ba,0.5555555555555556,0.0,0.0,0.4444444444444444,Anatomical
ba 10,1.0,0.0,0.0,0.0,Anatomical
ba 40,1.0,0.0,0.0,0.0,Anatomical
ba 44,1.0,0.0,0.0,0.0,Anatomical
background,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
balance,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
band,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
bands,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
basal,0.7777777777777778,0.0,0.0,0.2222222222222222,Anatomical
basal ganglia,1.0,0.0,0.0,0.0,Anatomical
baseline,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,Non-Specific
bases,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
basic,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
basis,0.0,0.0,0.0,1.0,Non-Specific
bayesian,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
beginning,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
behavior,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
behavioral,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
behavioral level,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
behavioral measures,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
behavioral performance,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
behavioral responses,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
behaviorally,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
behaviors,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
behaviour,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
behavioural,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
belief,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
beliefs,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
believed,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
beneficial,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
benefit,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
benefits,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
best,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
beta,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
better,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
better understanding,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
bias,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
biased,0.0,0.3333333333333333,0.0,0.5555555555555556,Non-Specific
biases,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
bilaterally,0.7777777777777778,0.0,0.0,0.2222222222222222,Anatomical
bilinguals,0.0,0.2222222222222222,0.5555555555555556,0.1111111111111111,Clinical
binding,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
biological,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
biomarkers,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,Non-Specific
bipolar,0.0,0.0,1.0,0.0,Clinical
bipolar disorder,0.0,0.0,1.0,0.0,Clinical
blind,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,Clinical
block,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
block design,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
blocked,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
blocks,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
blood,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,Non-Specific
blood flow,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
blood oxygen,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
blood oxygenation,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
bodily,0.1111111111111111,0.6666666666666666,0.0,0.2222222222222222,Functional
body,0.1111111111111111,0.5555555555555556,0.0,0.3333333333333333,Functional
bold,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
bold response,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
bold responses,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
bold signal,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
bold signals,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556,Non-Specific
brains,0.3333333333333333,0.0,0.0,0.6666666666666666,Non-Specific
brainstem,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
brief,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
broad,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
broader,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
broca,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,Anatomical
brodmann,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
brodmann ba,0.6666666666666666,0.0,0.0,0.3333333333333333,Anatomical
button,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
calculated,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
calculation,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
called,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
callosum,1.0,0.0,0.0,0.0,Anatomical
canonical,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
capacity,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
capture,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
carried,0.0,0.0,0.0,1.0,Non-Specific
carriers,0.0,0.0,0.2222222222222222,0.7777777777777778,Non-Specific
case,0.0,0.0,0.0,1.0,Non-Specific
cases,0.0,0.0,0.0,1.0,Non-Specific
categorical,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
categories,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
categorization,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
category,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
caudal,0.7777777777777778,0.0,0.0,0.2222222222222222,Anatomical
caudate,1.0,0.0,0.0,0.0,Anatomical
caudate nucleus,1.0,0.0,0.0,0.0,Anatomical
causal,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
causal modeling,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
causality,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
cause,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
caused,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
causes,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
center,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
centered,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,Non-Specific
central,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,Non-Specific
central role,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,Non-Specific
cerebellar,1.0,0.0,0.0,0.0,Anatomical
cerebellum,1.0,0.0,0.0,0.0,Anatomical
cerebral,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
cerebral blood,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,Anatomical
cerebral cortex,0.8888888888888888,0.0,0.0,0.1111111111111111,Anatomical
certain,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
challenge,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
challenges,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
challenging,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
change,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
changed,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
changing,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
character,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
characteristic,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
characteristics,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
characterization,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
characterize,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
characterized,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
characterizing,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
characters,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
childhood,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,Non-Specific
children,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
chinese,0.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,Clinical
choice,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
choices,0.0,0.6666666666666666,0.0,0.2222222222222222,Functional
choose,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
chosen,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
chronic,0.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,Clinical
chronic pain,0.0,0.2222222222222222,0.7777777777777778,0.0,Clinical
cingulate,1.0,0.0,0.0,0.0,Anatomical
cingulate cortex,1.0,0.0,0.0,0.0,Anatomical
cingulate cortices,1.0,0.0,0.0,0.0,Anatomical
cingulate gyrus,1.0,0.0,0.0,0.0,Anatomical
circuit,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,Anatomical
circuitry,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,Anatomical
circuits,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,Anatomical
clarify,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
class,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
classic,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
classical,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
classification,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
classified,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
clear,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
clearly,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
clinical,0.0,0.0,0.8888888888888888,0.1111111111111111,Clinical
clinically,0.0,0.0,0.7777777777777778,0.2222222222222222,Clinical
clips,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
close,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
closed,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
closely,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
cluster,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
clustering,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
clusters,0.1111111111111111,0.0,0.0,0.8888888888888888,Non-Specific
code,0.0,0.0,0.0,1.0,Non-Specific
coding,0.0,0.0,0.0,1.0,Non-Specific
cognition,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
